sa2_code,sa2_name,n_routes,route_density
206041504,Melbourne CBD - North,223,397.1545
206041505,Melbourne CBD - West,383,380.9682
206041503,Melbourne CBD - East,252,314.2987
206041118,Docklands,671,274.5841
206041509,Southbank - East,85,105.7421
206041117,Carlton,127,69.8491
206071142,Fitzroy,92,66.7896
206041119,East Melbourne,186,64.1455
206071141,Collingwood,64,50.5126
206041507,Royal Botanic Gardens Victoria,65,48.1094
206041510,West Melbourne - Residential,39,47.2967
206041508,Southbank (West) - South Wharf,39,45.8912
206041125,South Yarra - West,68,45.2663
213031348,Footscray,219,44.0875
206071139,Abbotsford,67,38.4918
206051513,St Kilda - Central,55,35.7697
206061515,South Yarra - North,39,33.3451
212041563,Dandenong - North,252,31.3442
212051568,Clayton - Central,126,30.1350
206071517,Richmond (South) - Cremorne,123,28.6795
208021180,Hughesdale,56,27.8678
206051514,St Kilda - West,63,26.6527
206071518,Richmond - North,50,25.9930
206041124,Parkville,103,25.4402
206061516,South Yarra - South,34,25.2262
213011336,Sunshine,119,25.1463
206051134,St Kilda East,56,23.2062
206061135,Armadale,49,22.4483
212051567,Clayton (North) - Notting Hill,112,21.4200
208021177,Caulfield - North,135,21.0318
206051128,Albert Park,91,19.4634
206051512,South Melbourne,36,19.0513
206011106,Brunswick East,41,18.9115
211041271,Nunawading,96,18.9074
207031163,Box Hill,131,18.6837
211041269,Forest Hill,76,18.6738
206041506,North Melbourne,45,18.5548
212051322,Glen Waverley - West,137,17.8514
206011496,Brunswick - South,48,17.5586
207011519,Hawthorn - North,43,17.5106
206011497,Coburg - East,65,17.3490
208021181,Murrumbeena,43,17.1005
206071140,Carlton North - Princes Hill,39,16.9264
206061136,Prahran - Windsor,48,16.5261
206071143,Fitzroy North,41,16.3675
206011495,Brunswick - North,39,16.1910
207031166,Burwood East,69,16.1906
207031162,Blackburn South,57,15.8501
206031115,Flemington,25,15.8138
213011569,Deer Park,126,15.5984
211041272,Vermont,67,14.5379
211031452,Croydon South,41,14.3597
212041459,Noble Park - East,53,14.0695
207031165,Burwood (Vic.),69,13.6943
211041270,Mitcham (Vic.),89,13.4322
208041195,Malvern East,99,13.0827
212051325,Mulgrave,140,13.0636
206031502,Essendon - East,46,12.9414
207031167,Surrey Hills (East) - Mont Albert,43,12.9224
212051321,Glen Waverley - East,116,12.6604
212041460,Noble Park - West,60,12.5183
211011447,Ferntree Gully - North,87,12.4578
212041316,Noble Park North,46,12.2433
208021176,Carnegie,46,12.0914
211031451,Croydon - West,82,12.0650
211011259,Wantirna,100,12.0414
206021500,Northcote - West,30,11.4008
211031450,Croydon - East,92,11.3630
213031350,Seddon - Kingsville,19,11.3085
208011171,Highett (West) - Cheltenham,60,11.2799
211041273,Vermont South,69,11.1598
211011448,Ferntree Gully (South) - Upper Ferntree Gully,102,11.1499
207011520,Hawthorn - South,35,10.8830
212051326,Oakleigh - Huntingdale,110,10.8172
206031116,Moonee Ponds,47,10.7908
208031190,Mentone,48,10.7885
208041194,Malvern - Glen Iris,66,10.7231
206041127,West Melbourne - Industrial,66,10.6463
211031266,Ringwood,103,10.3947
206011498,Coburg - West,33,10.3544
208021427,Bentleigh East - South,47,10.2450
208031188,Highett (East) - Cheltenham,88,10.0732
211011260,Wantirna South,133,9.9601
207011521,Kew - South,43,9.9469
212051327,Wheelers Hill,103,9.8687
206031113,Ascot Vale,37,9.6451
210051242,Broadmeadows,85,9.6298
211011251,Bayswater,77,9.5749
208011172,Hampton,51,8.9716
207011152,Hawthorn East,34,8.8906
206011109,Pascoe Vale South,26,8.6988
212051324,Mount Waverley - South,75,8.6208
212041310,Clayton South,68,8.5669
208021174,Bentleigh - McKinnon,53,8.5151
208021426,Bentleigh East - North,39,8.4807
213051590,Wyndham Vale - South,42,8.4702
208031191,Moorabbin - Heatherton,98,8.3769
211051277,Kilsyth,68,8.2523
206011107,Brunswick West,26,8.1795
211011446,Boronia,91,8.0811
208021179,Elsternwick,23,8.0374
207031161,Blackburn,69,8.0177
211031263,Bayswater North,79,7.9742
212041565,Keysborough - North,52,7.8742
207011146,Ashburton (Vic.),22,7.7567
212041318,Springvale South,35,7.6769
208031192,Moorabbin Airport,23,7.4791
209041216,Bundoora - North,34,7.2125
208031187,Chelsea Heights,23,7.1987
211011257,Rowville - North,30,7.1984
207011150,Glen Iris - East,41,7.1868
206061138,Toorak,31,7.1704
213041578,Melton South - Weir Views,79,7.1659
213011335,St Albans - South,44,7.0221
206041120,Flemington Racecourse,12,7.0204
206041121,Kensington (Vic.),15,6.9865
211051281,Mooroolbark,87,6.9375
212041317,Springvale,77,6.9344
206021499,Northcote - East,24,6.8308
212041309,Clarinda - Oakleigh South,43,6.8016
210011230,Niddrie - Essendon West,19,6.7781
212021295,Doveton,35,6.7410
211051280,Montrose,71,6.7361
213031349,Maribyrnong,37,6.7353
207011155,Surrey Hills (West) - Canterbury,38,6.6643
211031265,Croydon Hills - Warranwood,63,6.6386
206021112,Thornbury,33,6.6040
210031439,Gowanbrae,10,6.5670
207011154,Kew East,26,6.4752
208021182,Ormond - Glen Huntly,19,6.4698
211011256,Rowville - Central,53,6.4645
207011149,Camberwell,46,6.3092
213011334,St Albans - North,40,6.1321
211011254,Knoxfield - Scoresby,91,5.9625
210011226,Airport West,22,5.9140
208031193,Mordialloc - Parkdale,47,5.8993
212041312,Dandenong North,55,5.8162
213011338,Sunshine West,75,5.7824
211031267,Ringwood East,54,5.7502
211011258,Rowville - South,53,5.6675
213011333,Kings Park (Vic.),25,5.6400
207011522,Kew - West,35,5.6363
209021429,Preston - West,20,5.6061
207021157,Doncaster,49,5.5852
206021110,Alphington - Fairfield,16,5.5460
208031184,Braeside,50,5.5061
206051129,Elwood,14,5.4827
212021456,Narre Warren - South West,51,5.4820
208011173,Sandringham - Black Rock,35,5.4437
207011148,Balwyn North,48,5.4249
213011331,Delahey,19,5.4193
206051130,Port Melbourne,15,5.3781
